country,country_code_2_digit,country_code_3_digit,population,cases_count,deaths_count,reported_date,source
Malta,MT,MLT,493559,,0,2020-09-17,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,,0,2020-09-27,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,,10,2020-07-24,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,,2,2020-08-26,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,,22,2020-06-01,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,,0,2020-06-30,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,,0,2020-08-19,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,,7,2020-07-12,"Epidemic intelligence, national daily data"
Faroes,,,48865,,0,2020-05-26,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,,79,2020-04-03,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,,49,2020-03-07,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,,7,2020-07-31,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,,395,2020-04-20,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,,0,2020-03-09,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,,11,2020-09-08,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,,0,2020-06-22,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,,66,2020-10-07,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,,0,2020-06-15,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,,2,2020-05-19,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,,10,2020-06-02,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,,3,2020-08-22,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,,0,2020-06-24,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,,0,2020-08-24,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,,0,2020-01-22,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,,2,2020-02-23,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,,5,2020-09-22,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,,21,2020-05-09,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,,0,2020-02-29,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,,0,2020-02-14,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,,18,2020-07-11,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,,0,2020-07-17,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,,0,2020-07-26,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,,0,2020-03-20,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,,0,2020-08-24,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,,0,2020-02-24,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,,0,2020-08-28,"Epidemic intelligence, national daily data"
